,ESG_DISCLOSURE_SCORE,PE_RATIO,PX_TO_BOOK_RATIO,IS_EPS,RETURN_COM_EQY,TOT_DEBT_TO_TOT_EQY,BOOK_VAL_PER_SH,PROF_MARGIN,RETURN_ON_ASSET,Ticker,Industry,MarketCap,ESG_SCORE,BETA_RAW_OVERRIDABLE,OPER_INC_GROWTH
2019-12-31,,,,-0.13,,343.8754,-1.5407,-2.3445,,ZIP US Equity,Communication Services,1884879752.36,,,
2020-12-31,,,,0.79,,30.96,-0.6441,15.0707,38.2091,ZIP US Equity,Communication Services,1884879752.36,,,
2021-12-31,30.3994,1247.0,12.548,0.02,,10.7623,1.9876,0.2634,0.6392,ZIP US Equity,Communication Services,1884879752.36,,,
2022-12-31,32.029,32.1961,59.9565,0.54,46.6592,1956.6946,0.2739,6.7976,11.0483,ZIP US Equity,Communication Services,1884879752.36,,,
2015-12-31,29.8562,16.4769,1.3373,1.89,7.7798,55.0237,25.7318,19.4532,0.9906,RNST US Equity,Financials,1572284015.0300002,1.32,-2.2269,16.1573
2016-12-31,29.8562,18.2751,1.5182,2.18,8.0125,25.3175,27.8101,20.741,1.0938,RNST US Equity,Financials,1572284015.0300002,1.34,0.3659,36.0982
2017-12-31,32.2805,16.9075,1.2175,1.97,6.7098,19.6279,33.5864,19.6547,0.995,RNST US Equity,Financials,1572284015.0300002,1.97,-2.6148,17.7438
2018-12-31,32.2805,10.0572,0.8645,2.8,8.2565,31.8665,34.9109,27.1829,1.2908,RNST US Equity,Financials,1572284015.0300002,2.07,0.8981,18.001
2019-12-31,32.2805,12.2798,0.9474,2.89,8.0389,44.8839,37.3879,28.0772,1.2728,RNST US Equity,Financials,1572284015.0300002,2.05,1.2403,14.3336
2020-12-31,35.2781,19.0976,0.8875,1.49,3.9287,26.5321,37.9487,12.6298,0.5905,RNST US Equity,Financials,1572284015.0300002,2.35,1.7652,-52.018
2021-12-31,35.2781,12.5546,0.9575,3.13,8.1008,24.9891,39.6342,27.0194,1.1083,RNST US Equity,Financials,1572284015.0300002,2.3,1.6542,115.3105
2022-12-31,,12.7687,0.9847,2.97,7.6426,56.0733,38.1751,26.337,0.9827,RNST US Equity,Financials,1572284015.0300002,,0.2941,-5.1695
2019-12-31,,,,,,182.793,,-8.2524,,MLNK US Equity,Information Technology,1756456071.48,,,
2020-12-31,,,,,,177.1245,,4.5906,0.9984,MLNK US Equity,Information Technology,1756456071.48,,,124.3725
2021-12-31,43.3156,,3.0932,-0.48,,76.8519,6.9766,-3.7344,-1.0048,MLNK US Equity,Information Technology,1756456071.48,4.01,,-17.4015
2022-12-31,,182.3543,1.912,0.02,0.2279,73.7205,7.1808,0.4492,0.1241,MLNK US Equity,Information Technology,1756456071.48,,,-24.0791
2015-12-31,31.5361,24.9088,1.9348,0.39,7.3823,0.0,5.6027,12.6632,6.7209,PDFS US Equity,Information Technology,1718492558.5999997,,-1.2334,-30.8872
2016-12-31,31.5361,78.9754,3.6143,0.29,4.8795,0.0,6.2391,8.471,4.3965,PDFS US Equity,Information Technology,1718492558.5999997,,13.1635,-32.6127
2017-12-31,31.5361,55.1252,2.5415,-0.04,-0.6733,0.0,6.1774,-1.3124,-0.5989,PDFS US Equity,Information Technology,1718492558.5999997,,-14.0014,-98.5346
2018-12-31,37.632,,1.3663,-0.24,-3.8758,0.0,6.1699,-8.9936,-3.4287,PDFS US Equity,Information Technology,1718492558.5999997,,0.6208,
2019-12-31,37.632,,2.7987,-0.17,-2.7367,4.8655,6.035,-6.3305,-2.3281,PDFS US Equity,Information Technology,1718492558.5999997,,4.1766,23.2717
2020-12-31,36.274,,3.3942,-1.17,-18.7446,3.5999,6.3638,-45.8431,-15.3144,PDFS US Equity,Information Technology,1718492558.5999997,,5.7428,-119.8926
2021-12-31,38.2255,,5.4161,-0.58,-9.4642,3.1951,5.8695,-19.3481,-7.6559,PDFS US Equity,Information Technology,1718492558.5999997,1.78,1.814,-13.1559
2022-12-31,39.0102,,5.0832,-0.09,-1.5964,3.4969,5.6106,-2.3083,-1.2414,PDFS US Equity,Information Technology,1718492558.5999997,,1.2401,88.9895
2020-12-31,,12.3972,,-0.8,,21.0842,-1.2379,-6.8711,,PAYO US Equity,Financials,1784178672.32,,,
2021-12-31,30.2183,173.7096,5.1364,-0.33,,5.5466,1.431,-7.1793,-0.777,PAYO US Equity,Financials,1784178672.32,1.52,,-74.669
2022-12-31,31.2645,38.0268,3.5397,-0.03,-2.319,5.6876,1.5453,-1.9072,-0.2051,PAYO US Equity,Financials,1784178672.32,1.57,-0.0661,26.4656
2015-12-31,33.7894,9.5686,1.0932,1.67,5.1218,191.6242,33.1313,0.3063,1.0571,VRTV US Equity,Industrials,1726376027.76,,,
2016-12-31,36.9078,15.1932,1.5575,1.31,3.9183,174.0679,34.5096,0.2522,0.8467,VRTV US Equity,Industrials,1726376027.76,,7.6567,-3.4351
2017-12-31,39.7546,51.0669,0.8254,-0.85,-2.437,200.2183,35.0127,-0.159,-0.5123,VRTV US Equity,Industrials,1726376027.76,,-9.5733,-72.0685
2018-12-31,39.151,28.0498,0.731,-0.99,-2.8734,183.1154,34.1572,-0.1805,-0.5995,VRTV US Equity,Industrials,1726376027.76,,-1.2719,-25.4717
2019-12-31,39.151,9.6136,0.5906,-1.84,-5.4665,230.0634,33.3043,-0.3851,-1.1704,VRTV US Equity,Industrials,1726376027.76,,-0.2172,32.2785
2020-12-31,40.7806,5.0086,0.5669,2.14,6.111,172.6119,36.673,0.539,1.4114,VRTV US Equity,Industrials,1726376027.76,,-2.1332,128.7081
2021-12-31,51.353,10.322,2.8146,9.5,23.7263,147.7037,43.5479,2.1108,6.0586,VRTV US Equity,Industrials,1726376027.76,,45.5028,339.3305
2022-12-31,51.353,5.2852,2.1731,23.85,48.5523,82.1188,56.0074,4.7283,14.9249,VRTV US Equity,Industrials,1726376027.76,,10.5807,110.0952
2015-12-31,27.9348,,4.965,-3.25,-74.2757,0.0,4.866,-2636.8889,-60.1787,DVAX US Equity,Health Care,1760300122.0000002,,-4.7269,-15.0716
2016-12-31,24.3336,,1.7092,-2.92,-81.3986,0.0,2.311,-1018.2378,-68.9179,DVAX US Equity,Health Care,1760300122.0000002,,-12.3712,-5.362
2017-12-31,30.339,,5.7663,-1.81,-65.9075,0.0,3.243,-29099.0826,-57.9386,DVAX US Equity,Health Care,1760300122.0000002,,46.2388,13.2801
2018-12-31,31.1337,,9.1205,-2.55,-121.0134,159.9477,1.0032,-1938.2654,-73.9634,DVAX US Equity,Health Care,1760300122.0000002,,16.5446,-59.699
2019-12-31,31.1337,,57.87,-2.16,-436.8776,2647.5875,0.0988,-433.2888,-62.2918,DVAX US Equity,Health Care,1760300122.0000002,,0.3868,12.0507
2020-12-31,32.2,,8.3544,-0.75,-224.654,371.1635,0.5327,-161.6292,-23.7973,DVAX US Equity,Health Care,1760300122.0000002,,-1.2111,49.2958
2021-12-31,32.2,23.6417,7.7789,0.62,51.3358,115.7433,1.8087,17.4569,11.0179,DVAX US Equity,Health Care,1760300122.0000002,,22.4174,
2022-12-31,32.3308,5.4154,2.3368,2.32,72.9096,44.4069,4.5533,40.565,28.9523,DVAX US Equity,Health Care,1760300122.0000002,,5.1916,110.819
2020-12-31,,,,,,,,11.5853,,ATMU US Equity,Consumer Discretionary,1980821588.8800004,,,
2021-12-31,,,,,,0.0,,11.9058,,ATMU US Equity,Consumer Discretionary,1980821588.8800004,,,15.1611
2022-12-31,,,,,38.367,7.4082,,10.8892,19.6909,ATMU US Equity,Consumer Discretionary,1980821588.8800004,,,-3.6753
2020-12-31,,,,-0.4,,0.0,9.1459,-43.2372,,DH US Equity,Health Care,1823860095.5900002,,,
2021-12-31,,,4.7736,-0.19,-1.7089,0.0,5.7253,-10.6389,-0.9156,DH US Equity,Health Care,1823860095.5900002,,,-72.9387
2022-12-31,,251.2345,1.7783,-0.06,-0.6615,0.7726,6.1802,-2.7114,-0.285,DH US Equity,Health Care,1823860095.5900002,,,-65.1775
2015-12-31,33.1154,16.84,2.57,2.29,15.05,30.2311,14.7432,5.9209,8.5278,NUS US Equity,Consumer Staples,1480689509.25,1.8,-4.5463,-30.5195
2016-12-31,33.1154,18.6641,3.7846,2.58,19.2102,62.7783,12.6249,6.4809,9.6034,NUS US Equity,Consumer Staples,1480689509.25,1.64,3.8393,-5.557
2017-12-31,39.4729,21.1246,5.1032,2.4512,18.9143,55.1564,13.3699,5.6793,8.4491,NUS US Equity,Consumer Staples,1480689509.25,3.13,1.6893,18.7703
2018-12-31,39.4729,20.1764,4.3456,2.21,16.3996,55.0558,14.1131,4.5497,7.4224,NUS US Equity,Consumer Staples,1480689509.25,2.88,2.0623,-12.2496
2019-12-31,39.4729,13.2194,2.6031,3.13,20.9459,57.9194,15.7426,7.1704,10.022,NUS US Equity,Consumer Staples,1480689509.25,2.88,-0.6569,11.0296
2020-12-31,39.9256,14.853,3.1094,3.66,21.6274,55.9536,17.5692,7.4113,10.2711,NUS US Equity,Consumer Staples,1480689509.25,2.89,-5.269,-3.6877
2021-12-31,39.9256,11.4324,2.7744,2.93,16.2991,54.6102,18.292,5.4631,7.6233,NUS US Equity,Consumer Staples,1480689509.25,2.91,-3.8003,-9.1519
2022-12-31,40.7605,15.1324,2.3258,2.1,11.5772,56.6571,18.1272,4.7077,5.622,NUS US Equity,Consumer Staples,1480689509.25,,0.212,-52.6279
2016-12-31,,,,-3.42,,,-4.1923,-111.9085,,ESTA US Equity,Health Care,1744768648.1299999,,,
2017-12-31,,,,-3.41,,,-0.3452,-100.6228,-80.5405,ESTA US Equity,Health Care,1744768648.1299999,,,-26.2111
2018-12-31,,,7.9965,-1.22,,37.2354,3.429,-34.4694,-24.2969,ESTA US Equity,Health Care,1744768648.1299999,,,-19.4215
2019-12-31,,,14.4179,-1.86,-69.9365,128.914,1.9184,-42.5948,-32.7322,ESTA US Equity,Health Care,1744768648.1299999,,,-29.6555
2020-12-31,,,11.8089,-1.63,-66.5433,73.4555,3.1874,-45.0198,-27.9358,ESTA US Equity,Health Care,1744768648.1299999,,-2.7899,9.7767
2021-12-31,,,32.0776,-1.72,-65.4558,106.8626,2.1071,-32.4742,-27.8044,ESTA US Equity,Health Care,1744768648.1299999,,4.0897,9.9441
2022-12-31,,,30.7915,-3.08,,,-0.3353,-46.5114,-42.9042,ESTA US Equity,Health Care,1744768648.1299999,,1.7792,-57.7486
2015-12-31,41.7664,20.1651,1.0617,0.43,4.6874,64.1097,9.0893,9.1977,2.6466,DRH US Equity,Real Estate,1722369266.32,2.73,5.2693,5.6792
2016-12-31,37.6421,22.3037,1.2567,0.57,6.2706,50.1168,9.1747,12.8041,3.608,DRH US Equity,Real Estate,1722369266.32,2.81,5.3194,8.3952
2017-12-31,41.2433,24.6202,1.2333,0.46,5.0063,51.1436,9.1542,10.5605,2.987,DRH US Equity,Real Estate,1722369266.32,3.07,-2.1814,-11.232
2018-12-31,41.2433,23.1074,0.9863,0.43,4.724,51.728,9.2057,10.1637,2.7875,DRH US Equity,Real Estate,1722369266.32,3.07,0.6818,-6.9551
2019-12-31,44.2008,40.0363,1.1599,0.91,9.6689,62.1388,9.5525,19.5596,5.5406,DRH US Equity,Real Estate,1722369266.32,4.78,1.1847,95.2922
2020-12-31,49.5926,29.9188,1.0129,-1.97,-21.9495,67.1159,8.1451,-131.6831,-12.0007,DRH US Equity,Real Estate,1722369266.32,4.97,3.7695,
2021-12-31,49.5624,,1.4505,-0.96,-13.1563,77.3081,6.6251,-34.3101,-6.3672,DRH US Equity,Real Estate,1722369266.32,5.35,3.9521,57.6979
2022-12-31,,15.2728,1.1658,0.47,6.9416,81.2358,7.0251,10.9164,3.5422,DRH US Equity,Real Estate,1722369266.32,,0.6747,
2015-12-31,33.226,9.3215,1.3929,1.53,14.6325,134.5574,10.0591,7.9759,3.8587,KAR US Equity,Industrials,1794301487.6499999,,0.8575,13.1321
2016-12-31,33.4172,9.623,1.577,1.62,15.9805,176.791,10.2262,7.0601,3.6077,KAR US Equity,Industrials,1794301487.6499999,,0.8017,16.7798
2017-12-31,33.4172,8.9183,1.7288,2.66,25.1197,180.4903,11.0553,10.4685,5.3464,KAR US Equity,Industrials,1794301487.6499999,,0.3456,13.4269
2018-12-31,33.4172,6.9706,1.6388,2.44,22.2441,182.1746,11.0184,8.7012,4.6228,KAR US Equity,Industrials,1794301487.6499999,,0.9368,10.2827
2019-12-31,39.151,24.3556,1.7012,1.43,12.1051,139.9952,12.8088,6.7759,2.7344,KAR US Equity,Industrials,1794301487.6499999,,0.7461,-49.6796
2020-12-31,39.7344,93.1273,1.4938,-0.1632,-1.2921,105.0933,12.458,0.0229,0.0075,KAR US Equity,Industrials,1794301487.6499999,,2.795,-56.5743
2021-12-31,39.7344,77.5644,1.2509,0.2065,1.6236,93.7687,12.4873,4.5843,0.9334,KAR US Equity,Industrials,1794301487.6499999,,-0.1385,-6.5249
2022-12-31,39.0102,94.8215,0.9361,1.8882,14.4888,27.5483,13.9403,15.8747,3.8376,KAR US Equity,Industrials,1794301487.6499999,,0.0083,36.2353
2017-12-31,,,,-5.13,,10.3997,-6.9698,-118.9763,,DADA US Equity,Consumer Staples,1588650992.2000003,,,
2018-12-31,,,,-6.64,,0.0,-13.1886,-97.7295,-37.3474,DADA US Equity,Consumer Staples,1588650992.2000003,,,-24.5602
2019-12-31,,,,-6.8,,0.0,-19.4724,-53.8692,-33.621,DADA US Equity,Consumer Staples,1588650992.2000003,,,11.4727
2020-12-31,19.8974,,31.9145,-3.12,,12.5394,7.465,-29.707,-24.6535,DADA US Equity,Consumer Staples,1588650992.2000003,1.29,,-0.821
2021-12-31,27.6029,,20.4837,-2.6,-45.6914,4.8039,4.0836,-35.9894,-33.3314,DADA US Equity,Consumer Staples,1588650992.2000003,3.93,,-46.1782
2022-12-31,,,7.0199,-1.98,-37.2254,2.0149,6.8496,-21.4357,-28.0323,DADA US Equity,Consumer Staples,1588650992.2000003,,-0.3649,17.8067
2015-12-31,28.7899,,5.3339,-19.6499,-50.6998,1.5229,44.0951,-2321.1131,-43.4417,CLDX US Equity,Health Care,1718572297.5299997,,-0.8695,-4.951
2016-12-31,28.7899,,1.6073,-19.0499,-46.6324,1.8182,33.0365,-1908.7828,-35.9335,CLDX US Equity,Health Care,1718572297.5299997,,-6.1726,-3.3773
2017-12-31,29.7153,,1.6643,-10.7999,-37.0789,2.7779,25.5956,-730.0557,-26.619,CLDX US Equity,Health Care,1718572297.5299997,,5.832,9.2513
2018-12-31,30.0573,,0.2861,-14.48,-83.8911,3.6482,10.375,-1585.0702,-64.1381,CLDX US Equity,Health Care,1718572297.5299997,,2.8552,-28.7253
2019-12-31,30.0573,,0.4025,-3.51,-46.6587,6.0441,5.54,-1423.9575,-36.5054,CLDX US Equity,Health Care,1718572297.5299997,,1.9409,64.822
